Thu Apr 07 05:45:37 +0000 2011 	 How Finnish Schools are Trouncing the US Ed System w/ More Recess &amp; Fewer Tests. {Infographic} @elephantjournal http://t.co/CrBsPaSRRf 	 kcmo 
Sat Jun 18 23:38:29 +0000 2011 	 RT @AHSchools: Champlin Park High School senior Annalise Lamberty a finalist in Harvard's "Girls Impact the World" film festival: http://t. 	 Minnesota 
Mon Jul 08 18:57:58 +0000 2013 	 RT @onlinecourse: A US Education: Still Worth It for International Students? - http://t.co/O405F0XZ5t 	 Princeton, NJ  &  NYC 
Fri Apr 02 15:30:10 +0000 2010 	 "I dont know many business leaders who are satisfied with Americas schools." Bill Gates on US education http://t.co/bzBqD9MnGZ 	 Perkasie, PA 
Thu Jan 26 23:28:52 +0000 2012 	 RT @AHSchools: Champlin Park High School senior Annalise Lamberty a finalist in Harvard's "Girls Impact the World" film festival: http://t. 	 Neverland 
Thu Jan 26 23:28:52 +0000 2012 	 RT @ChamplinParkHS: Champlin Park High School senior Annalise Lamberty a finalist in Harvard's "Girls Impact the World" film festival: http 	 Neverland 
Sat Dec 28 10:27:25 +0000 2013 	 USA now 70th in the world in medicine. It's killing us. Education.The fastest growing population in the USA has15% of education; #mustread 	  
Sat May 02 14:42:21 +0000 2009 	 How Finnish Schools are Trouncing the US Education System with More Recess &amp; Fewer Tests.  @elephantjournal http://t.co/s9kndLFi3S 	 Western Slope, CO 
Tue Sep 15 02:00:10 +0000 2009 	 Champlin Park High School senior Annalise Lamberty a finalist in Harvard's "Girls Impact the World" film festival: http://t.co/rDHoaVN5g1 	 Anoka and NE Hennepin counties 
Wed Oct 03 14:27:41 +0000 2012 	 Champlin Park High School senior Annalise Lamberty a finalist in Harvard's "Girls Impact the World" film festival: http://t.co/7eZiaRmiPp 	  
Sun Nov 07 03:24:44 +0000 2010 	 RT @ursalette: You inspire me @DianeRavitch Your  interview @BillMoyersHQ was exceptional.  TY for speaking for US education. @Progress2day 	 #FitzWalkerstan 
Sat Oct 17 18:56:56 +0000 2009 	 RT @VoinovichSchool: Graduate degree in ur future? Join us! Education fair 4/16 downtown Cols. to learn about @ohiou Executive/Weekend MPA  	 Columbus, Ohio 
